Entreprise_Insérée_1,ISIN,environmental_sentiment_score
International Paper Co,US4601461035,-0.0020111731843575416
China Development Bank Financial Leasing Co Ltd,CNE1000027C9,-0.005395061728395063
Southern Co,US8425871071,0.010000000000000004
Sappi Ltd,ZAE000006284,0.02406015037593985
Johnson Controls International PLC,IE00BY7QL619,0.003908045977011492
Skanska AB,SE0000113250,-0.018035714285714287
Tata Motors Ltd,INE155A01022,-0.007459429210968102
Alstom SA,FR0010220475,0.0036381709741550696
Clear Channel Outdoor Holdings Inc,US18453H1068,0.006513157894736839
Marks and Spencer Group PLC,GB0031274896,0.0007462686567164177
Roche Holding AG,CH0012032048,0.005819761129207384
Xinjiang Goldwind Science & Technology Co Ltd,CNE1000008S5,-0.0001250000000000001
Microsoft Corp,US5949181045,0.027105691056910568
Eastman Kodak Co,US2774614067,0.0023180940115904696
China Steel Corp,TW0002002003,-0.0023315118397085615
BP plc,GB0007980591,0.0019931856899488938
Qualcomm Inc,US7475251036,0.014566596194503172
Estee Lauder Companies Inc,US5184391044,0.0024069767441860465
Hitachi Ltd,JP3788600009,-0.00937855975485189
Weyerhaeuser Co,US9621661043,0.002939481268011526
PepsiCo Inc,US7134481081,-0.009127868852459016
Siemens AG,DE0007236101,0.011573333333333333
Stelco Holdings Inc,CA8585221051,0.005804311774461028
Enel Generacion Chile SA,CLP3710M1090,-0.0016068376068376067
Pfizer Inc,US7170811035,0.011834961997828446
Fawaz Abdulaziz Alhokair Company SJSC,SA000A0LB2R6,-0.00452894438138479
Motorola Solutions Inc,US6200763075,0.0030241423125794147
Julius Baer Gruppe AG,CH0102484968,-0.02055821371610845
General Mills Inc,US3703341046,0.01970706730769231
Petroleo Brasileiro SA Petrobras,BRPETRACNPR6,0.0018367346938775505
Hindustan Copper Ltd,INE531E01026,0.006963249516441005
Exelon Corp,US30161N1019,0.007122861586314153
Berkshire Hathaway Inc,US0846701086,0.024741379310344827
BT Group PLC,GB0030913577,-0.013497757847533631
United States Steel Corp,US9129091081,-0.00026291079812206555
Occidental Petroleum Corp,US6745991058,0.07020749373433584
Boeing Co,US0970231058,0.000747863247863248
Reckitt Benckiser Group plc,GB00B24CGK77,0.0025425950196592386
National Australia Bank Ltd,AU000000NAB4,0.008195103668261563
Subaru Corp,JP3814800003,-0.01246977547495682
Kia Corp,KR7000270009,5.962521294718934e-05
Walt Disney Co,US2546871060,-0.004769230769230769
American International Group Inc,US0268747849,0.004881075491209928
Shell PLC,GB00BP6MXD84,-0.008749999999999999
NEC Corp,JP3733000008,-0.0031234567901234564
Avient Corp,US05368V1061,0.006557824967824966
Toyota Motor Corp,JP3633400001,0.005575757575757575
Aeon Co Ltd,JP3388200002,0.021184210526315788
Starbucks Corp,US8552441094,0.008394865525672373
STMicroelectronics NV,NL0000226223,0.007493573264781491
Deutsche Bank AG,DE0005140008,0.007180783817951959
Enel SpA,IT0003128367,0.0002664576802507829
West Japan Railway Co,JP3659000008,0.005244375484871993
Engie SA,FR0010208488,-0.01150537634408602
Intercontinental Hotels Group plc,GB00BHJYC057,0.012747252747252746
Deutsche Lufthansa AG,DE0008232125,0.002947368421052631
Ampol Ltd,AU0000088338,0.01292857142857143
Ajinomoto Co Inc,JP3119600009,0.012606635071090048
Heineken NV,NL0000009165,0.0025049407114624504
Banco Bilbao Vizcaya Argentaria SA,ES0113211835,-0.0013432583319235327
JPMorgan Chase & Co,US46625H1005,-0.0064062500000000005
Bed Bath & Beyond Inc,US0758961009,0.002392638036809816
Xerox Holdings Corp,US98421M1062,0.0075801282051282046
Hershey Co,US4278661081,-0.006875687568756877
Barclays plc,GB0031348658,0.05231979030144166
Philip Morris International Inc,US7181721090,0.010995670995670994
Credit Agricole SA,FR0000045072,0.0389051094890511
ANZ Group Holdings Ltd,AU000000ANZ3,0.0703579418344519
Alphabet Inc,US02079K3059,0.019826732673267327
Raytheon Technologies Corp,US75513E1010,-0.022964601769911507
Korea Electric Power Corp,KR7015760002,-0.0006201550387596853
Bridgestone Corp,JP3830800003,0.003408190224570674
Novartis AG,CH0012005267,0.013390119250425896
Mercedes-Benz Group AG,DE0007100000,0.01620967741935484
Coface SA,FR0010667147,-0.013060606060606062
ArcelorMittal SA,LU1598757687,0.02356449375866852
Thomson Reuters Corp,CA8849037095,0.0121627408993576
Stellantis NV,NL00150001Q9,-0.003939862542955325
PETRONAS Chemicals Group Bhd,MYL5183OO008,0.009168466522678186
Telkom SA SOC Ltd,ZAE000044897,0.002333785617367707
Eli Lilly and Co,US5324571083,-0.033853211009174315
HSBC Holdings plc,GB0005405286,0.02644908616187989
AT&T Inc,US00206R1023,-0.006421663442940039
Abrdn PLC,GB00BF8Q6K64,0.0005050505050505047
Carlsberg A/S,DK0010181759,0.008858024691358024
Solvay SA,BE0003470755,-0.04574270557029178
ConocoPhillips,US20825C1045,0.01243827160493827
Toronto-Dominion Bank,CA8911605092,-0.013451327433628318
Baker Hughes Co,US05722G1004,-0.005838198498748957
UBS Group AG,CH0244767585,0.006175609756097559
AP Moeller - Maersk A/S,DK0010244508,-0.000756013745704468
Telenor ASA,NO0010063308,0.026997971602434074
Eni SpA,IT0003132476,0.000474040632054176
Carnival Corp,PA1436583006,0.006873661670235544
Nan Ya Plastics Corp,TW0001303006,0.025982658959537573
Sanofi SA,FR0000120578,-0.009846153846153846
Conagra Brands Inc,US2058871029,-0.005784313725490194
Southwest Airlines Co,US8447411088,-0.011304347826086957
Mitsui & Co Ltd,JP3893600001,-0.0009437386569872959
Oracle Corp,US68389X1054,0.009405940594059402
