"ISIN","Company","Country"
"US7170811035","Pfizer Inc","United States of America"
"US58933Y1055","Merck & Co Inc","United States of America"
"GB0009252882","GSK plc","Unable to resolve all requested identifiers."
"US5324571083","Eli Lilly and Co","United States of America"
"DE000BAY0017","Bayer AG","Germany"
"CH0012005267","Novartis AG","Switzerland"
"US1101221083","Bristol-Myers Squibb Co","United States of America"
"US0028241000","Abbott Laboratories","United States of America"
"GB0009895292","AstraZeneca plc","United Kingdom"
"CH0012032048","Roche Holding AG","Switzerland"
"JP3463000004","Takeda Pharmaceutical Co Ltd","Japan"
"US4781601046","Johnson & Johnson","United States of America"
"GB00B10RZP78","Unilever PLC","United Kingdom"
"US7427181091","Procter & Gamble Co","United States of America"
"NL0000009538","Koninklijke Philips NV","Netherlands"
"DE0007236101","Siemens AG","Germany"
"US1667641005","Chevron Corp","United States of America"
"US37045V1008","General Motors Co","United States of America"
"GB0005405286","HSBC Holdings plc","United Kingdom"
"NL0011821202","ING Groep NV","Netherlands"
"US1912161007","Coca-Cola Co","United States of America"
"CH0038863350","Nestle SA","Switzerland"
"US8552441094","Starbucks Corp","United States of America"
"CH0012221716","Abb Ltd","Switzerland"
"GB0007188757","Rio Tinto plc","United Kingdom"
"GB00BP6MXD84","Shell PLC","United Kingdom"
"US2605571031","Dow Inc","United States of America"
"US4592001014","International Business Machines Corp","United States of America"
"GB00B1XZS820","Anglo American plc","United Kingdom"
"GB0004082847","Standard Chartered PLC","United Kingdom"
"US30231G1022","Exxon Mobil Corp","United States of America"
"NL0000009165","Heineken NV","Netherlands"
"US7181721090","Philip Morris International Inc","United States of America"
"US9311421039","Walmart Inc","United States of America"
"US8425871071","Southern Co","United States of America"
"GB0002875804","British American Tobacco plc","United Kingdom"
"INE059A01026","Cipla Ltd","India"
"JP3401400001","Sumitomo Chemical Co Ltd","Japan"
"DE000BASF111","BASF SE","Germany"
"US6541061031","Nike Inc","United States of America"
"DE0005190003","Bayerische Motoren Werke AG","Germany"
"DE0008232125","Deutsche Lufthansa AG","Germany"
"DE0007664039","Volkswagen AG","Germany"
"FR0000120644","Danone SA","France"
"GB0007980591","BP plc","United Kingdom"
"FR0000120321","L'Oreal SA","France"
"NO0005052605","Norsk Hydro ASA","Norway"
"DE0007100000","Mercedes-Benz Group AG","Germany"
"DE0005140008","Deutsche Bank AG","Germany"
"SE0000108656","Telefonaktiebolaget LM Ericsson","Sweden"
"US5801351017","Mcdonald's Corp","United States of America"
"DE0007037129","RWE AG","Germany"
"NO0010096985","Equinor ASA","Norway"
"INE081A01012","Tata Steel Ltd","Unable to resolve all requested identifiers."
"US0758871091","Becton Dickinson and Co","United States of America"
"US4581401001","Intel Corp","United States of America"
"FI0009000681","Nokia Oyj","Finland"
"GB0002374006","Diageo plc","United Kingdom"
"US2546871060","Walt Disney Co","United States of America"
"US5949181045","Microsoft Corp","United States of America"
"GB0030913577","BT Group PLC","United Kingdom"
"US3453708600","Ford Motor Co","United States of America"
"US42824C1099","Hewlett Packard Enterprise Co","United States of America"
"US3696041033","General Electric Co","Unable to resolve all requested identifiers."
"US92556H2067","Paramount Global","United States of America"
"FR0000120271","TotalEnergies SE","France"
"NL0013267909","Akzo Nobel NV","Netherlands"
"BE0003470755","Solvay SA","Belgium"
"US1890541097","Clorox Co","United States of America"
"US4878361082","Kellogg Co","United States of America"
"CA0977512007","Bombardier Inc","Unable to resolve all requested identifiers."
"JP3866800000","Panasonic Corp","Japan"
"PHY272571498","Globe Telecom Inc","Philippines"
"US2910111044","Emerson Electric Co","United States of America"
"US0138721065","Alcoa Corp","United States of America"
"IE00B4BNMY34","Accenture PLC","Ireland; Republic of"
"US92343V1044","Verizon Communications Inc","United States of America"
"FR0010208488","Engie SA","France"
"JP3899800001","Mitsubishi Motors Corp","Japan"
"US2774614067","Eastman Kodak Co","United States of America"
"US75513E1010","Raytheon Technologies Corp","United States of America"
"US17275R1023","Cisco Systems Inc","United States of America"
"US68389X1054","Oracle Corp","United States of America"
"US0268747849","American International Group Inc","United States of America"
"US0258161092","American Express Co","United States of America"
"US7134481081","PepsiCo Inc","United States of America"
"US00724F1012","Adobe Inc","United States of America"
"US4278661081","Hershey Co","United States of America"
"US3647601083","Gap Inc","United States of America"
"US0394831020","Archer-Daniels-Midland Co","United States of America"
"US0200021014","Allstate Corp","United States of America"
"JP3242800005","Canon Inc","Japan"
"SE0000103814","Electrolux AB","NULL"
"JP3733000008","NEC Corp","Japan"
"JP3435000009","Sony Corp","Japan"
"CH0126881561","Swiss Re AG","Switzerland"
"SE0000113250","Skanska AB","Sweden"
"ZAE000006896","Sasol Ltd","South Africa"
"FR0000131906","Renault SA","France"
"DE0006048432","Henkel AG & Co KgaA","Germany"
