Entreprise_Insérée_1,ISIN,environmental_sentiment_score
Kirloskar Brothers Ltd,INE732A01036,-0.0021372328458942632
Seer Inc,US81578P1066,0.0067258883248730965
Samsung Life Insurance Co Ltd,KR7032830002,-0.011526717557251907
Kontoor Brands Inc,US50050N1037,-0.006357142857142857
Tauron Polska Energia SA,PLTAURN00011,-0.002690763052208836
Recordati Industria Chimica e Farmaceutica SpA,IT0003828271,0.015125
Repligen Corp,US7599161095,-0.0015440763615946103
Apollo Commercial Real Estate Finance Inc,US03762U1051,-0.0038118811881188122
Zhuzhou Hongda Electronics Corp Ltd,CNE1000035L3,0.026092715231788077
3i Group plc,GB00B1YW4409,-0.0008561020036429876
Mitsubishi Logistics Corp,JP3902000003,0.005460992907801417
Zamp SA,BRZAMPACNOR5,0.005153061224489795
Aaon Inc,US0003602069,0.01589171974522293
Valneva SE,FR0004056851,-0.0017455242966751916
Emami Ltd,INE548C01032,-0.018740740740740742
Prospect Capital Corp,US74348T1025,-0.00365025466893039
Owens & Minor Inc,US6907321029,0.00560081466395112
Sino Thai Engineering and Construction PCL,TH0307010Z09,0.0007053469852104663
Eventbrite Inc,US29975E1091,-0.005750766087844739
Samsung SDI Co Ltd,KR7006400006,0.010949008498583568
KWG Group Holdings Ltd,KYG532241042,-0.00846203763789747
Mayora Indah Tbk PT,ID1000060007,0.010988446726572527
Tokuyama Corp,JP3625000009,0.003372681281618887
Sberbank Rossii PAO,RU0009029540,0.02354621848739496
Catalent Inc,US1488061029,0.0022424892703862653
Greenpanel Industries Ltd,INE08ZM01014,0.010033860045146727
Mahindra and Mahindra Ltd,INE101A01026,0.0027805486284289273
Tribal,GB0030181522,-0.02046178343949044
UWC Bhd,MYL5292OO007,0.014558823529411765
Park Ohio Holdings Corp,US7006661000,0.02401151631477927
Itera ASA,NO0010001118,-0.0002321083172147004
Sam Chun Dang Pharm Co Ltd,KR7000250001,0.0016444444444444447
Old Republic International Corp,US6802231042,-0.007516198704103672
V-mart Retail Ltd,INE665J01013,0.007056277056277055
Truly International,KYG910191363,0.0012487992315081652
Nixu Oyj,FI0009008387,0.09184729064039408
Jiangxi Zhengbang Technology Co Ltd,CNE1000006H2,0.0018589743589743591
Ourpalm,CNE100001DH2,-0.0016905071521456437
Newell Brands Inc,US6512291062,0.00826645264847512
Shanghai Lingang Holdings Co Ltd,CNE000000C74,-0.021270903010033444
Cigna Corp,US1255231003,-0.0032367972742759796
Sundrug Co Ltd,JP3336600006,-2.464424028024765e-19
Frontken Corporation Bhd,MYQ0128OO007,-0.0007651991614255765
Kadokawa Corp,JP3214350005,-0.0162870159453303
Siemens Ltd,INE003A01024,0.003411042944785275
